Time,Eul_A,Eul_B,Eul_C
0.000000,2.580085,0.326996,-0.180005
0.000000,2.446159,0.307629,-0.220194
0.000000,2.333799,0.268204,-0.246237
0.000000,2.274320,0.234133,-0.264178
0.000000,2.218299,0.199521,-0.280457
0.000000,2.141497,0.161501,-0.293418
0.000000,2.137006,0.123111,-0.321368
0.000000,2.147593,0.133597,-0.347530
0.000000,2.159925,0.126941,-0.363090
0.000000,2.217742,0.129159,-0.376159
0.000000,2.300805,0.145715,-0.421279
0.000000,2.385598,0.176515,-0.438837
0.000000,2.504142,0.247726,-0.423418
0.000000,2.636349,0.293391,-0.326773
0.000000,2.799393,0.355010,-0.207013
0.000000,2.972924,0.402805,-0.034769
0.000000,3.109882,0.510484,0.116320
0.000000,-3.017527,0.579971,0.354027
0.000000,-2.854959,0.621432,0.581905
0.000000,-2.732469,0.692938,0.817105
0.000000,-2.662533,0.675900,0.996924
0.000000,-2.628786,0.651022,1.145635
0.000000,-2.691234,0.688526,1.264389
0.000000,-2.703006,0.733132,1.354487
0.000000,-2.712669,0.784682,1.457188
0.000000,-2.694415,0.787229,1.517463
0.000000,-2.698619,0.831882,1.574683
0.000000,-2.683314,0.861469,1.635272
0.000000,-2.679478,0.856875,1.601118
0.000000,-2.663708,0.877901,1.628258
0.000000,-2.663708,0.877901,1.628258
0.000000,-2.664369,0.869490,1.592960
0.000000,-2.664369,0.869490,1.592960
0.000000,-2.645759,0.852305,1.592664
0.000000,-2.645759,0.852305,1.592664
0.000000,-2.664369,0.869490,1.592960
0.000000,-2.668160,0.873841,1.626512
0.000000,-2.668160,0.873841,1.626512
0.000000,-2.645759,0.852305,1.592664
0.000000,-2.645759,0.852305,1.592664
0.000000,-2.645759,0.852305,1.592664
0.000000,-2.645759,0.852305,1.592664
0.000000,-2.645759,0.852305,1.592664
0.000000,-2.645759,0.852305,1.592664
0.000000,-2.645759,0.852305,1.592664
0.000000,-2.664369,0.869490,1.592960
0.000000,-2.699365,0.857180,1.532023
0.000000,-2.734646,0.836944,1.440950
0.000000,-2.807258,0.837840,1.328095
0.000000,-2.913515,0.821253,1.136164
0.000000,-3.039096,0.769812,0.884672
0.000000,-3.127324,0.726691,0.655991
0.000000,3.107035,0.701023,0.440328
