Time,Eul_A,Eul_B,Eul_C
0.000000,-2.111250,0.057231,2.111250
0.000000,-2.036776,0.016401,2.117615
0.000000,-1.974885,-0.018201,2.115523
0.000000,-1.918935,-0.049821,2.114338
0.000000,-1.874824,-0.096349,2.085790
0.000000,-1.827418,-0.170221,2.047830
0.000000,-1.789532,-0.243602,1.986896
0.000000,-1.734366,-0.332492,1.941709
0.000000,-1.695847,-0.389364,1.883269
0.000000,-1.655041,-0.460058,1.821140
0.000000,-1.583777,-0.495419,1.748714
0.000000,-1.540482,-0.542175,1.702661
0.000000,-1.450121,-0.589325,1.610999
0.000000,-1.373152,-0.652280,1.562933
0.000000,-1.310093,-0.705744,1.512804
0.000000,-1.216642,-0.718425,1.450149
0.000000,-1.099399,-0.743679,1.362305
0.000000,-1.044147,-0.768142,1.353197
0.000000,-0.968453,-0.751041,1.293699
0.000000,-0.929522,-0.736366,1.286588
0.000000,-0.911079,-0.746400,1.282643
0.000000,-0.946265,-0.749400,1.333707
0.000000,-1.022037,-0.765365,1.393312
0.000000,-1.152047,-0.754055,1.508394
0.000000,-1.292169,-0.731249,1.602695
0.000000,-1.463024,-0.687750,1.729098
0.000000,-1.643695,-0.592938,1.852802
0.000000,-1.772240,-0.514615,1.951597
0.000000,-1.903851,-0.390229,2.040687
0.000000,-2.041984,-0.269241,2.113747
0.000000,-2.164303,-0.146524,2.145601
0.000000,-2.289887,-0.037809,2.172818
0.000000,-2.402399,0.102379,2.148486
0.000000,-2.555607,0.240512,2.145932
0.000000,-2.717229,0.370198,2.082568
0.000000,-2.872128,0.456044,2.015878
0.000000,-3.024594,0.547319,1.927036
0.000000,3.086544,0.618238,1.866063
0.000000,2.939932,0.660105,1.773054
0.000000,2.802010,0.700762,1.721857
0.000000,2.676982,0.728298,1.637508
0.000000,2.558601,0.760937,1.592362
0.000000,2.460848,0.811034,1.549186
0.000000,2.385628,0.820666,1.505071
0.000000,2.353240,0.860855,1.503547
0.000000,2.420136,0.849575,1.548210
0.000000,2.664656,0.839636,1.700733
0.000000,2.930074,0.771484,1.888334
0.000000,-3.105867,0.676157,2.029385
0.000000,-2.862077,0.520830,2.135064
0.000000,-2.628779,0.361417,2.173173
0.000000,-2.443114,0.175703,2.199352
0.000000,-2.270591,0.006800,2.169009
0.000000,-2.139434,-0.101374,2.139434
0.000000,-2.030100,-0.199521,2.103768
0.000000,-1.968000,-0.248551,2.094486
0.000000,-1.936278,-0.290259,2.112753
0.000000,-1.923994,-0.314983,2.116215
0.000000,-1.880152,-0.324885,2.107508
0.000000,-1.870304,-0.334186,2.115638
0.000000,-1.900606,-0.365054,2.123257
0.000000,-1.891459,-0.374277,2.131720
0.000000,-1.891459,-0.374277,2.131720
0.000000,-1.896621,-0.380516,2.120746
0.000000,-1.924379,-0.389364,2.145038
0.000000,-1.924379,-0.389364,2.145038
0.000000,-1.930101,-0.395641,2.134722
0.000000,-1.930101,-0.395641,2.134722
0.000000,-1.930101,-0.395641,2.134722
0.000000,-1.959899,-0.387851,2.163787
0.000000,-1.966257,-0.394125,2.154028
0.000000,-1.966257,-0.394125,2.154028
0.000000,-1.966257,-0.394125,2.154028
0.000000,-1.993456,-0.402805,2.178143
0.000000,-1.996005,-0.385907,2.183031
0.000000,-1.995198,-0.400632,2.183602
0.000000,-1.995198,-0.400632,2.183602
0.000000,-1.995198,-0.400632,2.183602
0.000000,-2.022585,-0.409118,2.207794
0.000000,-2.022585,-0.409118,2.207794
0.000000,-2.040275,-0.389796,2.194078
0.000000,-2.040275,-0.389796,2.194078
0.000000,-2.066737,-0.398027,2.217859
0.000000,-2.069683,-0.380732,2.222746
0.000000,-2.077979,-0.386987,2.214688
0.000000,-2.077979,-0.386987,2.214688
0.000000,-2.077979,-0.386987,2.214688
0.000000,-2.081049,-0.369769,2.219534
0.000000,-2.107093,-0.377503,2.243081
0.000000,-2.126171,-0.358639,2.229641
0.000000,-2.135458,-0.365054,2.222087
0.000000,-2.170874,-0.347555,2.239529
0.000000,-2.195400,-0.312249,2.230645
0.000000,-2.233979,-0.277134,2.251639
0.000000,-2.298668,-0.207281,2.262419
0.000000,-2.352778,-0.126739,2.239751
0.000000,-2.454304,-0.026003,2.238268
0.000000,-2.516646,0.019801,2.213461
0.000000,-2.545482,0.033606,2.199329
0.000000,-2.559101,-0.018001,2.179386
0.000000,-2.544002,-0.094943,2.162055
0.000000,-2.543799,-0.211984,2.143135
0.000000,-2.548292,-0.361417,2.134396
0.000000,-2.541734,-0.460058,2.142267
0.000000,-2.486928,-0.535882,2.127750
0.000000,-2.432731,-0.622662,2.164165
0.000000,-2.360246,-0.646254,2.154997
0.000000,-2.256739,-0.662132,2.162442
0.000000,-2.155038,-0.649515,2.170697
0.000000,-2.026110,-0.604560,2.169670
0.000000,-1.872275,-0.550602,2.165602
0.000000,-1.778605,-0.492466,2.191672
0.000000,-1.658345,-0.421577,2.236668
0.000000,-1.530689,-0.376212,2.227653
0.000000,-1.433441,-0.329109,2.275137
0.000000,-1.341830,-0.305112,2.308189
0.000000,-1.293491,-0.242984,2.351045
0.000000,-1.271454,-0.205851,2.387580
0.000000,-1.257663,-0.154818,2.417070
0.000000,-1.248091,-0.081089,2.436304
0.000000,-1.274526,0.001600,2.460278
0.000000,-1.307381,0.091327,2.445313
0.000000,-1.409045,0.198501,2.452723
0.000000,-1.548859,0.329955,2.399387
0.000000,-1.768947,0.497011,2.298265
0.000000,-2.008306,0.648761,2.137939
0.000000,-2.361802,0.755977,1.943892
0.000000,-2.726078,0.780733,1.707086
0.000000,-3.062190,0.724018,1.538687
0.000000,2.996883,0.628584,1.491362
0.000000,2.846339,0.527298,1.503424
0.000000,2.774198,0.446266,1.550737
0.000000,2.767532,0.375567,1.640924
0.000000,2.775895,0.276926,1.737994
0.000000,2.793400,0.163122,1.838805
0.000000,2.784113,0.051423,1.929733
0.000000,2.798638,-0.066850,2.023322
0.000000,2.812661,-0.160083,2.118078
0.000000,2.830652,-0.246076,2.188579
0.000000,2.842719,-0.320667,2.251263
0.000000,2.896823,-0.398895,2.303756
0.000000,2.945260,-0.478896,2.335763
0.000000,2.993104,-0.546617,2.352090
0.000000,3.062484,-0.608454,2.358727
0.000000,3.126865,-0.644501,2.337559
0.000000,-3.071368,-0.660358,2.313195
0.000000,-2.970953,-0.665433,2.296867
0.000000,-2.855485,-0.642002,2.263308
0.000000,-2.764408,-0.577821,2.253812
0.000000,-2.692407,-0.525910,2.281803
0.000000,-2.627038,-0.477770,2.292935
0.000000,-2.585373,-0.370198,2.329506
0.000000,-2.504783,-0.268619,2.397100
0.000000,-2.479637,-0.180580,2.461412
0.000000,-2.419722,-0.099363,2.476665
0.000000,-2.410513,-0.016401,2.508971
0.000000,-2.407203,0.086909,2.513051
0.000000,-2.424581,0.189125,2.535533
0.000000,-2.495051,0.280879,2.518584
0.000000,-2.611428,0.410644,2.484542
0.000000,-2.777207,0.542175,2.408012
0.000000,-3.011226,0.645503,2.269868
0.000000,3.008744,0.706532,2.086667
0.000000,2.758414,0.705481,1.908781
0.000000,2.555255,0.677953,1.808135
0.000000,2.383688,0.640255,1.703232
0.000000,2.318816,0.643001,1.713041
0.000000,2.285059,0.622170,1.722999
0.000000,2.251911,0.602616,1.734747
0.000000,2.256358,0.606506,1.776192
0.000000,2.279423,0.603102,1.814024
0.000000,2.347575,0.601646,1.882691
0.000000,2.421435,0.575912,1.912924
0.000000,2.506956,0.579732,1.983649
0.000000,2.587756,0.549194,2.047999
0.000000,2.664632,0.518526,2.081276
0.000000,2.746665,0.464974,2.141787
0.000000,2.802771,0.422893,2.171737
0.000000,2.838669,0.372344,2.210289
0.000000,2.909824,0.338423,2.251238
0.000000,2.950342,0.267167,2.276594
0.000000,3.006787,0.203808,2.301708
0.000000,3.052959,0.158462,2.337505
0.000000,3.095171,0.110626,2.351597
0.000000,-3.137346,0.044415,2.399621
0.000000,-3.077978,0.003000,2.399967
0.000000,-3.028464,-0.021402,2.433628
0.000000,-2.977224,-0.046417,2.447843
0.000000,-2.920882,-0.028004,2.466356
0.000000,-2.852781,0.014400,2.491773
0.000000,-2.808441,0.067852,2.521091
0.000000,-2.740871,0.130571,2.527592
0.000000,-2.678759,0.149355,2.526891
0.000000,-2.622091,0.186682,2.533046
0.000000,-2.606076,0.192996,2.539587
0.000000,-2.595679,0.217921,2.551075
0.000000,-2.560153,0.205442,2.537610
0.000000,-2.529826,0.218126,2.552137
0.000000,-2.493901,0.206055,2.538946
0.000000,-2.466979,0.187293,2.555971
0.000000,-2.440923,0.168192,2.572697
0.000000,-2.398364,0.136423,2.589938
0.000000,-2.339520,0.132790,2.621235
0.000000,-2.304986,0.117269,2.643751
0.000000,-2.259326,0.079885,2.638953
0.000000,-2.236139,0.041212,2.646060
0.000000,-2.230150,0.032606,2.661425
0.000000,-2.221827,0.006600,2.669291
0.000000,-2.247279,-0.025603,2.683640
0.000000,-2.247279,-0.025603,2.683640
0.000000,-2.247279,-0.025603,2.683640
0.000000,-2.249780,-0.008000,2.691163
0.000000,-2.258597,-0.002600,2.709429
0.000000,-2.283051,0.013400,2.728157
0.000000,-2.294790,0.009600,2.723061
0.000000,-2.340413,0.000400,2.724390
0.000000,-2.355906,0.014601,2.726591
0.000000,-2.359311,-0.006600,2.680006
0.000000,-2.367195,0.018801,2.670544
0.000000,-2.334084,0.100569,2.697401
0.000000,-2.227391,0.191773,2.672621
0.000000,-2.243763,0.120693,2.610404
0.000000,-2.296536,0.001800,2.538455
0.000000,-2.356612,-0.079885,2.546618
0.000000,-2.409891,-0.105194,2.561509
0.000000,-2.409891,-0.105194,2.561509
0.000000,-2.411852,-0.152996,2.561239
0.000000,-2.418313,-0.182410,2.567237
0.000000,-2.404546,-0.177734,2.571138
0.000000,-2.441316,-0.155425,2.609395
0.000000,-2.468622,-0.175296,2.652968
0.000000,-2.476905,-0.216897,2.639775
0.000000,-2.486769,-0.245664,2.649000
0.000000,-2.489406,-0.326363,2.627314
0.000000,-2.497527,-0.446487,2.563588
0.000000,-2.458201,-0.455599,2.541302
0.000000,-2.429489,-0.494510,2.529203
0.000000,-2.451584,-0.507507,2.565453
0.000000,-2.426330,-0.520599,2.541391
0.000000,-2.375688,-0.597769,2.518417
0.000000,-2.307412,-0.583562,2.515679
0.000000,-2.321525,-0.587402,2.514857
0.000000,-2.468148,-0.517144,2.582895
0.000000,-2.587425,-0.535650,2.555000
0.000000,-2.527893,-0.570437,2.560212
0.000000,-2.588834,-0.595835,2.620775
0.000000,-2.717496,-0.567351,2.717496
0.000000,-2.786380,-0.605046,2.770266
0.000000,-2.805282,-0.630811,2.773472
0.000000,-2.830783,-0.659346,2.799316
0.000000,-2.787078,-0.719223,2.771677
0.000000,-2.771677,-0.719223,2.787078
0.000000,-2.771677,-0.719223,2.787078
0.000000,-2.781185,-0.697887,2.812580
0.000000,-2.797177,-0.683099,2.828141
0.000000,-2.773472,-0.630811,2.805282
0.000000,-2.810269,-0.618238,2.825996
0.000000,-2.812543,-0.595352,2.828510
0.000000,-2.812543,-0.595352,2.828510
0.000000,-2.812543,-0.595352,2.828510
0.000000,-2.759931,-0.608698,2.824485
0.000000,-2.736604,-0.629326,2.815790
0.000000,-2.710353,-0.623401,2.789117
0.000000,-2.705256,-0.619711,2.768138
0.000000,-2.646913,-0.562615,2.742823
0.000000,-2.633976,-0.542408,2.763453
0.000000,-2.610270,-0.465870,2.824432
0.000000,-2.548636,-0.401501,2.850868
0.000000,-2.609358,-0.440067,2.809462
0.000000,-2.642901,-0.440067,2.794149
0.000000,-2.734821,-0.409990,2.802911
0.000000,-2.805327,-0.422893,2.822033
0.000000,-2.862808,-0.452038,2.829605
0.000000,-2.950279,-0.464080,2.866526
0.000000,-3.002857,-0.470801,2.918525
0.000000,-3.102358,-0.506363,2.988790
0.000000,-3.074869,-0.543343,2.977329
0.000000,-3.121431,-0.524292,2.989585
0.000000,-3.104920,-0.522675,3.005811
0.000000,-3.065813,-0.520369,3.016188
0.000000,-3.048046,-0.502936,3.015511
0.000000,-2.962216,-0.498376,2.994612
0.000000,-2.879381,-0.405197,2.964013
0.000000,-2.803466,-0.337575,2.959765
0.000000,-2.748045,-0.269034,2.943710
0.000000,-2.662368,-0.235778,2.916535
0.000000,-2.577800,-0.220994,2.887874
0.000000,-2.546932,-0.197889,2.893339
0.000000,-2.498417,-0.185461,2.867817
0.000000,-2.484891,-0.164339,2.874618
0.000000,-2.389401,-0.155830,2.820610
0.000000,-2.252005,-0.134808,2.764989
0.000000,-2.067968,-0.075672,2.674630
0.000000,-1.910463,-0.017601,2.613220
0.000000,-1.871467,-0.037209,2.613274
0.000000,-1.811643,-0.056831,2.577023
0.000000,-1.800431,-0.079885,2.589204
0.000000,-1.830962,-0.087712,2.593128
0.000000,-1.835979,-0.076073,2.594303
0.000000,-1.893863,-0.087512,2.611518
0.000000,-1.963886,-0.090323,2.623161
0.000000,-2.066253,-0.092532,2.665903
0.000000,-2.223428,-0.139250,2.693323
0.000000,-2.429539,-0.199725,2.742632
0.000000,-2.589579,-0.241336,2.803482
0.000000,-2.672821,-0.259710,2.832326
0.000000,-2.743546,-0.257848,2.885361
0.000000,-2.803037,-0.270279,2.928849
0.000000,-2.834223,-0.277966,2.957050
0.000000,-2.875231,-0.283377,2.981229
0.000000,-2.917509,-0.287963,3.006369
0.000000,-2.917509,-0.287963,3.006369
0.000000,-2.919351,-0.310569,3.024780
0.000000,-2.921088,-0.354157,3.041166
0.000000,-2.869631,-0.476194,3.053746
0.000000,-2.837153,-0.603345,3.026463
0.000000,-2.737621,-0.759557,2.955246
0.000000,-2.605763,-0.951695,2.840981
0.000000,-2.297478,-1.102193,2.565477
0.000000,-1.935841,-1.224983,2.222261
0.000000,-1.595512,-1.201551,1.915215
0.000000,-1.438829,-1.203774,1.785631
0.000000,-1.225221,-1.165030,1.587762
0.000000,-1.063330,-1.140879,1.427765
0.000000,-0.919127,-1.094720,1.300128
0.000000,-0.872253,-1.087784,1.254532
0.000000,-0.843613,-1.055202,1.240664
0.000000,-0.843613,-1.055202,1.240664
0.000000,-0.887530,-1.062141,1.283305
0.000000,-0.968875,-1.100866,1.348896
0.000000,-1.247326,-1.164017,1.639789
0.000000,-1.521970,-1.164017,1.913358
0.000000,-2.074009,-1.107088,2.468239
0.000000,-2.453282,-0.900439,2.845081
0.000000,-2.541265,-0.735287,2.927826
0.000000,-2.628362,-0.489291,3.010617
0.000000,-2.724884,-0.230845,3.071630
0.000000,-2.756828,-0.031605,3.094498
0.000000,-2.796206,0.085303,3.115439
0.000000,-2.816720,0.163933,3.127602
0.000000,-2.815354,0.200541,-3.128836
0.000000,-2.815744,0.240718,-3.122254
0.000000,-2.818280,0.244014,3.140770
0.000000,-2.817500,0.203808,3.134185
0.000000,-2.818022,0.147332,3.104162
0.000000,-2.797034,0.052825,3.068557
0.000000,-2.753585,-0.098760,3.020536
0.000000,-2.716543,-0.210348,2.972299
0.000000,-2.679451,-0.305951,2.943867
0.000000,-2.642073,-0.381809,2.916592
0.000000,-2.563262,-0.466765,2.848508
0.000000,-2.527423,-0.506592,2.844469
0.000000,-2.508968,-0.526372,2.836014
0.000000,-2.510084,-0.505220,2.841736
0.000000,-2.588999,-0.462291,2.903666
0.000000,-2.648020,-0.391310,2.956981
0.000000,-2.682492,-0.355437,2.975017
0.000000,-2.701659,-0.335880,2.981788
0.000000,-2.701659,-0.335880,2.981788
0.000000,-2.723324,-0.340756,3.004807
0.000000,-2.723917,-0.320457,3.008884
0.000000,-2.704512,-0.340120,3.002123
0.000000,-2.681733,-0.375997,2.970635
0.000000,-2.646486,-0.432784,2.947569
0.000000,-2.570228,-0.477545,2.889332
0.000000,-2.466303,-0.533094,2.795287
0.000000,-2.405574,-0.558129,2.745523
0.000000,-2.364811,-0.569724,2.722543
0.000000,-2.363449,-0.591010,2.716011
0.000000,-2.364811,-0.569724,2.722543
0.000000,-2.448629,-0.552715,2.787007
0.000000,-2.513820,-0.511172,2.862145
0.000000,-2.628463,-0.431903,2.944577
0.000000,-2.651918,-0.375567,2.982168
0.000000,-2.617071,-0.333762,2.987000
0.000000,-2.636025,-0.302178,3.021966
0.000000,-2.636750,-0.262194,3.031852
0.000000,-2.671256,-0.210348,3.070832
0.000000,-2.689255,-0.171033,3.081375
0.000000,-2.686127,-0.181800,3.037535
0.000000,-2.720855,-0.178954,3.019926
0.000000,-2.768108,-0.178954,3.006463
0.000000,-2.764834,-0.191570,2.964097
0.000000,-2.752482,-0.185665,2.938637
0.000000,-2.730987,-0.196054,2.895529
0.000000,-2.730093,-0.188311,2.857654
0.000000,-2.712545,-0.221199,2.822138
0.000000,-2.712236,-0.217306,2.803352
0.000000,-2.730027,-0.212802,2.766414
0.000000,-2.757837,-0.154008,2.757837
0.000000,-2.797512,-0.097756,2.759609
0.000000,-2.776147,-0.113644,2.757458
0.000000,-2.761846,-0.131176,2.742852
0.000000,-2.780218,-0.134808,2.742111
0.000000,-2.758431,-0.150568,2.739651
0.000000,-2.759167,-0.147130,2.721742
0.000000,-2.752041,-0.186072,2.715467
0.000000,-2.732800,-0.222225,2.696094
0.000000,-2.725528,-0.261366,2.689696
0.000000,-2.714708,-0.320878,2.680173
0.000000,-2.693794,-0.356504,2.659215
0.000000,-2.649631,-0.407810,2.632616
0.000000,-2.629167,-0.428163,2.645958
0.000000,-2.587467,-0.459165,2.620887
0.000000,-2.544492,-0.489744,2.594327
0.000000,-2.500338,-0.519908,2.566317
0.000000,-2.464222,-0.532397,2.560908
0.000000,-2.420781,-0.568063,2.548919
0.000000,-2.378608,-0.576628,2.523448
0.000000,-2.335635,-0.584761,2.497219
0.000000,-2.318502,-0.601646,2.492721
0.000000,-2.278241,-0.588363,2.471693
0.000000,-2.278241,-0.588363,2.471693
0.000000,-2.264925,-0.584281,2.473323
0.000000,-2.224604,-0.571150,2.452811
0.000000,-2.200385,-0.563088,2.458119
0.000000,-2.148320,-0.554361,2.457775
0.000000,-2.057696,-0.544511,2.418843
0.000000,-2.010352,-0.527992,2.406841
0.000000,-1.970504,-0.533790,2.383017
0.000000,-1.963313,-0.530077,2.389494
0.000000,-1.964732,-0.511631,2.396620
0.000000,-1.964732,-0.511631,2.396620
0.000000,-1.993357,-0.511631,2.439767
0.000000,-2.025772,-0.482957,2.475370
0.000000,-2.134172,-0.418073,2.599253
0.000000,-2.307199,-0.290050,2.789878
0.000000,-2.398969,-0.197685,2.866498
