Time,Qua_A,Qua_B,Qua_C,Qua_D,Eul_A,Eul_B,Eul_C
0.000000,0.650000,-0.070000,-0.760000,0.010000,-2.468845,-1.419656,2.384946
0.000000,0.640000,-0.070000,-0.770000,0.010000,-2.569704,-1.406906,2.486457
0.000000,0.620000,-0.070000,-0.780000,0.010000,-2.648933,-1.392797,2.566352
0.000000,0.610000,-0.070000,-0.790000,0.010000,-2.717162,-1.308511,2.630824
0.000000,0.600000,-0.070000,-0.800000,0.010000,-2.767787,-1.295704,2.682464
0.000000,0.590000,-0.070000,-0.810000,0.010000,-2.809321,-1.282045,2.724959
0.000000,0.570000,-0.070000,-0.820000,0.010000,-2.843880,-1.267643,2.760424
0.000000,0.560000,-0.080000,-0.820000,0.010000,-2.876677,-1.203774,2.790915
0.000000,0.550000,-0.080000,-0.830000,0.010000,-2.853423,-1.159992,2.750140
0.000000,0.540000,-0.080000,-0.840000,0.010000,-2.879939,-1.146673,2.778076
0.000000,0.530000,-0.080000,-0.850000,0.010000,-2.902839,-1.132792,2.802300
0.000000,0.510000,-0.080000,-0.850000,0.010000,-2.922785,-1.118395,2.823485
0.000000,0.500000,-0.080000,-0.860000,0.010000,-2.929455,-1.045948,2.824296
0.000000,0.490000,-0.080000,-0.870000,0.010000,-2.946543,-1.032142,2.842918
0.000000,0.480000,-0.080000,-0.870000,0.010000,-2.961639,-1.017887,2.859443
0.000000,0.470000,-0.080000,-0.880000,0.010000,-2.964581,-0.985593,2.859802
0.000000,0.460000,-0.080000,-0.880000,0.010000,-2.977830,-0.971265,2.874539
0.000000,0.450000,-0.090000,-0.890000,0.010000,-2.980605,-0.940750,2.874878
0.000000,0.440000,-0.090000,-0.890000,0.010000,-2.978497,-0.925963,2.859771
0.000000,0.430000,-0.090000,-0.900000,0.010000,-2.981418,-0.896906,2.860087
0.000000,0.420000,-0.090000,-0.900000,0.010000,-2.992749,-0.882296,2.873159
0.000000,0.420000,-0.090000,-0.910000,0.010000,-2.995517,-0.854435,2.873459
0.000000,0.410000,-0.090000,-0.910000,0.000000,-3.002987,-0.867323,2.885034
0.000000,0.400000,-0.090000,-0.910000,0.000000,-3.032274,-0.842336,2.896973
0.000000,0.390000,-0.090000,-0.920000,0.000000,-3.034920,-0.815400,2.896973
0.000000,0.380000,-0.090000,-0.920000,0.000000,-3.042902,-0.800350,2.906965
0.000000,0.380000,-0.090000,-0.920000,0.000000,-3.045416,-0.774278,2.906965
0.000000,0.370000,-0.090000,-0.930000,0.000000,-3.045416,-0.774278,2.906965
0.000000,0.360000,-0.090000,-0.930000,0.000000,-3.052553,-0.759005,2.916115
0.000000,0.350000,-0.090000,-0.930000,0.000000,-3.054947,-0.733670,2.916115
0.000000,0.350000,-0.090000,-0.930000,0.000000,-3.057342,-0.708901,2.916115
0.000000,0.340000,-0.100000,-0.940000,0.000000,-3.057342,-0.708901,2.916115
0.000000,0.330000,-0.100000,-0.940000,0.000000,-3.055424,-0.693458,2.901281
0.000000,0.330000,-0.100000,-0.940000,0.000000,-3.057947,-0.669253,2.901281
0.000000,0.320000,-0.100000,-0.940000,0.000000,-3.057947,-0.669253,2.901281
0.000000,0.320000,-0.100000,-0.940000,0.000000,-3.060470,-0.645503,2.901281
0.000000,0.310000,-0.100000,-0.940000,0.000000,-3.060470,-0.645503,2.901281
0.000000,0.310000,-0.100000,-0.950000,0.000000,-3.062995,-0.622170,2.901281
0.000000,0.300000,-0.100000,-0.950000,0.000000,-3.066582,-0.629821,2.909810
0.000000,0.300000,-0.100000,-0.950000,0.000000,-3.068993,-0.606506,2.909810
